,blast_id,user_id,date,video,sport,action_type,gender,equipment,thumb,handedness,is_air_swing,back_stroke_time,forward_stroke_time,total_stroke_time,tempo,impact_stroke_speed,back_stroke_length,loft_change,backstroke_rotation,forward_stroke_rotation,face_angle_at_impact,lie_change
148,e0e821a2-b4f0-415e-a5e5-b4a02edf7b7a,529228,"February 25, 2026 / 4:12pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.27,0.85,2.1,2.1,4.7,1.2,2.0,2.2,-0.1,-1.0
149,285de883-f3a0-45ce-95c2-940c59de4f48,529228,"February 25, 2026 / 4:12pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.29,0.88,2.0,2.2,5.6,1.4,3.3,3.1,0.2,-1.2
150,f12167d9-8f4a-41f5-bee6-5c274193115d,529228,"February 25, 2026 / 11:49am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.27,0.81,2.0,2.2,4.5,1.7,1.6,0.9,0.6,-1.3
151,e67e04b3-d9ab-4c6f-b7b6-81d8cbb17aab,529228,"February 25, 2026 / 11:49am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.66,0.30,0.96,2.2,2.2,4.9,1.0,1.9,1.6,0.3,-1.1
152,64a13af4-cdc0-478a-878d-6825ea9113da,529228,"February 25, 2026 / 11:48am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.68,0.32,1.00,2.1,2.3,5.5,1.2,2.1,2.0,0.1,-1.0
153,c456e07b-c044-4fd3-8c5b-e666131db3ad,529228,"February 25, 2026 / 11:48am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.65,0.29,0.94,2.3,2.1,5.0,1.0,2.4,2.0,0.4,-0.7
154,3873ec43-821b-4519-93fa-ac292f21845f,529228,"February 25, 2026 / 11:48am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.27,0.85,2.1,2.1,4.7,0.8,2.4,1.8,0.6,-1.0
155,91006dce-3a4b-4034-8fbe-543dbbb45fba,529228,"February 25, 2026 / 11:47am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.27,0.82,2.0,2.4,6.1,0.9,3.1,2.7,0.4,-1.0
156,fe5e3502-906f-4301-841e-619eed28d1ae,529228,"February 25, 2026 / 11:47am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.57,0.29,0.86,2.0,2.3,6.0,0.8,2.6,2.7,-0.1,-0.9
157,467f3981-dc42-4972-9ae9-f6ca17047892,529228,"February 25, 2026 / 11:47am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.53,0.28,0.81,1.9,2.4,5.6,0.5,2.7,2.8,-0.2,-0.9
